,host_country,year,distance,style,month,week,median_pace,max_pace,n_ski,tourist
241,POL,2016,25.0,CT,4,13,10.160307067058026,22.06964198136341,1139,0.08516242317822652
242,POL,2016,28.0,FT,6,22,16.341087892077432,24.33019551049964,460,0.27608695652173915
243,POL,2016,50.5,CT,5,18,11.157824523107031,21.845710165825523,1422,0.35794655414908577
244,POL,2017,25.0,CT,5,18,10.381820279155612,21.29673450070989,1295,0.09420849420849421
245,POL,2017,30.0,FT,3,9,15.015644848674452,22.857142857142858,410,0.26097560975609757
246,POL,2017,50.0,CT,4,14,10.62197568747787,20.327498588368154,1373,0.3197378004369993
247,POL,2018,25.0,CT,4,14,10.634526763559021,22.39363025628266,1383,0.09472161966738973
248,POL,2018,30.0,FT,2,5,14.502484221834296,22.66526757607555,425,0.20705882352941177
249,POL,2018,50.0,CT,3,9,11.313639220615965,21.948542860626752,1461,0.34770704996577684
250,RUS,2013,25.0,CT,3,11,14.220255964607363,19.97780244173141,269,0.34572490706319703
251,RUS,2013,50.0,FT,3,11,13.407322798660337,20.226991796831104,1646,0.1330498177399757
252,RUS,2015,25.0,CT,3,11,18.676073874247766,24.698133918770584,247,0.16194331983805668
253,RUS,2015,50.0,FT,3,11,19.83471074380165,27.569306172461328,1395,0.07526881720430108
254,RUS,2016,25.0,CT,3,10,18.889715304297077,25.118615685180014,258,0.12015503875968993
255,RUS,2016,50.0,FT,12,48,20.08256164230726,28.5668941437867,1585,0.03974763406940063
256,RUS,2017,25.0,CT,5,18,15.64129348598087,23.572551073860662,252,0.07539682539682539
257,RUS,2017,50.0,FT,4,14,16.832655682585557,26.408450704225352,1730,0.03930635838150289
258,RUS,2018,25.0,CT,4,14,17.297715413850252,24.677817384151357,270,0.08888888888888889
259,RUS,2018,50.0,FT,3,9,16.859457724420885,24.813895781637715,1776,0.08783783783783784
260,SUI,2013,21.0,FT,10,40,11.31567536287341,20.97669256381798,1412,0.278328611898017
261,SUI,2013,42.0,FT,10,40,16.25369529017037,28.533685601056803,9840,0.28221544715447155
262,SUI,2014,17.0,FT,2,6,13.040698913275092,16.9905607995558,921,0.16829533116178066
263,SUI,2014,21.0,FT,9,36,11.185914585181443,21.0,1692,0.3055555555555556
264,SUI,2014,42.0,FT,9,36,26.006752822262747,26.503067484662576,100,0.55
265,SUI,2015,17.0,CT,1,1,13.671395233666743,17.0,752,0.1702127659574468
266,SUI,2015,21.0,FT,8,32,10.519724534328862,20.918649695628115,1922,0.31217481789802287
267,SUI,2015,42.0,FT,8,32,14.824256126609875,26.572934973637963,10096,0.3019017432646593
268,SUI,2016,17.0,FT,6,22,12.166999935496355,16.9905607995558,914,0.1323851203501094
269,SUI,2016,21.0,FT,3,10,9.778812736370883,20.71232876712329,2018,0.27750247770069375
270,SUI,2016,42.0,FT,3,10,12.571713644300324,23.304562268803945,9688,0.2864368290668869
271,SUI,2017,17.0,FT,5,18,15.167286245353159,23.83177570093458,979,0.1348314606741573
272,SUI,2017,17.0,FT,9,35,15.246636771300448,25.3836582330983,429,0.337995337995338
273,SUI,2017,21.0,FT,12,48,11.447607773082293,27.262892174540212,2092,0.33795411089866156
274,SUI,2017,42.0,FT,12,48,14.822076267032642,28.712495252563617,10077,0.31140220303661803
275,SUI,2018,17.0,FT,4,14,15.384615384615385,24.69733656174334,1069,0.15154349859681945
276,SUI,2018,17.0,FT,8,31,15.066469719350073,25.910245554614733,740,0.3918918918918919
277,SUI,2018,21.0,FT,11,44,11.40959959066936,25.463118895250926,2276,0.3233743409490334
